Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","129","Madagascar","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","78","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","131","Malaisie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1518","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","130","Malawi","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","29","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","132","Maldives","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","11","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","133","Mali","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","52","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","134","Malte","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","14","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","143","Maroc","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","730","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","137","Maurice","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","49","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","136","Mauritanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","22","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","138","Mexique","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","4214","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","141","Mongolie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","9","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","273","Monténégro","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","144","Mozambique","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","49","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","28","Myanmar","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1446","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","147","Namibie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","27","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","149","Népal","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","54","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","157","Nicaragua","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","138","S","Données standardisées"
