Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","91","Guyana","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","3819.18604","Fc","Donnée calculée",""
"MK","Indicateurs macro","93","Haïti","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","738.301745","Fc","Donnée calculée",""
"MK","Indicateurs macro","95","Honduras","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2210.58728","Fc","Donnée calculée",""
"MK","Indicateurs macro","97","Hongrie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","15802.913692","Fc","Donnée calculée",""
"MK","Indicateurs macro","36","Îles Caïmanes","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","61552.889543","Fc","Donnée calculée",""
"MK","Indicateurs macro","47","Îles Cook","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","18195.192736","Fc","Donnée calculée",""
"MK","Indicateurs macro","127","Îles Marshall","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","3450.844939","Fc","Donnée calculée",""
"MK","Indicateurs macro","25","Îles Salomon","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1487.394648","Fc","Donnée calculée",""
"MK","Indicateurs macro","224","Îles Turques-et-Caïques","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","24646.030578","Fc","Donnée calculée",""
"MK","Indicateurs macro","239","Îles Vierges britanniques","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","28748.787614","Fc","Donnée calculée",""
"MK","Indicateurs macro","100","Inde","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1954.075371","Fc","Donnée calculée",""
"MK","Indicateurs macro","101","Indonésie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","4130.663261","Fc","Donnée calculée",""
"MK","Indicateurs macro","102","Iran (République islamique d')","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","6967.734919","Fc","Donnée calculée",""
"MK","Indicateurs macro","103","Iraq","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","5512.538709","Fc","Donnée calculée",""
"MK","Indicateurs macro","104","Irlande","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","75307.543338","Fc","Donnée calculée",""
"MK","Indicateurs macro","99","Islande","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","52255.084304","Fc","Donnée calculée",""
"MK","Indicateurs macro","105","Israël","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","36108.555023","Fc","Donnée calculée",""
"MK","Indicateurs macro","106","Italie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","35693.77893","Fc","Donnée calculée",""
"MK","Indicateurs macro","109","Jamaïque","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","4834.113605","Fc","Donnée calculée",""
"MK","Indicateurs macro","110","Japon","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","48301.253056","Fc","Donnée calculée",""
"MK","Indicateurs macro","112","Jordanie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","3246.191922","Fc","Donnée calculée",""
"MK","Indicateurs macro","108","Kazakhstan","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","10898.410816","Fc","Donnée calculée",""
"MK","Indicateurs macro","114","Kenya","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1169.368668","Fc","Donnée calculée",""
